LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Multiply,aten::conv2d/GroupConvolution_10/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x1x1x3x3) f32(384x1x1x1x1),f32(384x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_10,0.0014,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x1x3x3),f32(1x384x14x14)
Add,aten::conv2d/Add_31,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/Convolution_21/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(96x384x1x1) f32(96x1x1x1),f32(96x384x1x1)
Convolution,aten::conv2d/Convolution_21,0.0145,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(96x384x1x1),f32(1x96x14x14)
Add,aten::conv2d/Add_32,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(1x96x14x14) f32(1x96x1x1),f32(1x96x14x14)
Multiply,aten::conv2d/Convolution_22/fq_weights_1,0.0001,0.0000,0.0006,[auto_broadcast: numpy],f32(576x96x1x1) f32(576x1x1x1),f32(576x96x1x1)
Convolution,aten::conv2d/Convolution_22,0.0217,0.0000,0.0553,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x14x14) f32(576x96x1x1),f32(1x576x14x14)
Add,aten::conv2d/Add_33,0.0001,0.0000,0.0006,[auto_broadcast: numpy],f32(1x576x14x14) f32(1x576x1x1),f32(1x576x14x14)
Multiply,aten::conv2d/GroupConvolution_11/fq_weights_1,0.0000,0.0000,0.0006,[auto_broadcast: numpy],f32(576x1x1x3x3) f32(576x1x1x1x1),f32(576x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_11,0.0020,0.0000,0.0052,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x576x14x14) f32(576x1x1x3x3),f32(1x576x14x14)
Add,aten::conv2d/Add_34,0.0001,0.0000,0.0006,[auto_broadcast: numpy],f32(1x576x14x14) f32(1x576x1x1),f32(1x576x14x14)
