LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.18.m.0.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_70,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.m.0.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_71,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.m.1.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_72,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.m.1.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_73,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.m.2.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_74,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.m.2.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_75,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.18.cv2.conv,8.3886,0.0000,1.0240,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1600x64x64) f32(640x1600x1x1),f32(1x640x64x64)
Swish,model.0.act_76,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
